,feat_0,feat_2,feat_5,feat_6,feat_7,feat_8,feat_9,feat_12,feat_13,feat_14,feat_15,feat_20,feat_21,feat_22,feat_23,feat_25,feat_27,feat_28,feat_30,feat_32,feat_34,feat_35,feat_36,feat_38,feat_39,feat_43,feat_44,feat_45,feat_46,feat_48,feat_51,feat_52,feat_53,feat_57,feat_59,feat_61,feat_63,feat_64,feat_66,feat_70,feat_73,feat_74,feat_75,feat_76,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_86,feat_88,feat_89,feat_90,feat_92,feat_93,feat_94,feat_95,feat_96,feat_99,feat_101,feat_103,feat_105,feat_106,feat_107,feat_108,feat_109,feat_111,feat_112,feat_113,feat_114,feat_117,feat_118,feat_119,feat_120,feat_121,feat_123,feat_124,feat_126
feat_0,1.0,-0.670515765472878,-0.5743893818927932,-0.4318140589776917,-0.116601083093557,-0.5798682195454592,0.5454226924540729,-0.5968145818700885,-0.43426001501768424,0.4562248806721872,-0.5023571841409539,0.468402335578862,-0.49697735301088336,0.573769443661099,0.566035900122873,0.26874832435822466,0.5561729636342423,-0.544613968186555,0.537901275231865,0.31403352008371455,-0.14123659238886002,0.61949030097293,0.6205918883726518,0.09653229307814569,0.6582334595651282,-0.5572592595855893,0.6082608866289353,-0.5992916000837895,0.5548579083994817,0.5411210501717976,-0.05179047388007888,-0.508927357232938,-0.6388568130877776,-0.07179238484897678,-0.5998591451838347,-0.4260624982828051,0.6653552027768025,-0.5216687862714444,0.3157703184344574,-0.6027201251176919,-0.6433122666212402,-0.621214142945563,0.10405685177594623,-0.4020741660818709,0.194643366119727,0.6232088028650087,0.5606231899775207,-0.5675746848853583,-0.5528573609095493,0.2670558041992786,0.1282747279357234,0.5571550878836173,-0.5038096036094272,0.5908722367672353,-0.5418650259813966,0.49751445245858333,-0.5985099749482641,0.18822046973617806,-0.014072555608936829,0.4054036571604007,-0.5859524546293172,-0.5037461920095387,0.49108032394998136,0.5379867900015156,-0.3747601296955245,0.6582108893434888,0.6741776940885719,0.5901243250453241,-0.5184779431541148,-0.058839332866988094,0.537113068094203,-0.5808992052210078,0.46126460198777547,0.5996078588015686,0.4656514649270127,-0.5336400333038529,-0.6799795667859494,0.5182626241932757,0.6334786085487263
feat_2,-0.670515765472878,1.0,0.9253827179008011,0.7392641460186865,-0.2585023867163528,0.9147950220735149,-0.9188192885011097,0.922577434778836,0.736484198193324,-0.7054221005493706,0.5892854903153473,-0.640733850660511,0.8847253487975452,-0.9311495644932295,-0.8327583679223471,-0.4533206767792104,-0.9322549083429463,0.8795211761002673,-0.7162102986387853,-0.6608908669094774,0.14901858646977562,-0.6315191399152379,-0.9090993123236735,-0.4677522844584279,-0.703985878697381,0.9075102119039061,-0.9289794078768626,0.9444984905602514,-0.8936981367374931,-0.8936719768645631,-0.05916963903751676,0.5962939769518336,0.8754155733770906,-0.15950190762671204,0.9212293378888717,0.7655635890645274,-0.939288504955013,0.86136487096113,-0.7125513925195176,0.8900835409230301,0.7409545235129158,0.7241263466417286,-0.18267878135848434,0.5384640136682144,0.032841408900485265,-0.9410853272607826,-0.9218135164592964,0.9289746815631688,0.9244718429084728,-0.3860535614187488,-0.5091932281085442,-0.9056924926006356,0.5916253746790038,-0.9272519755976989,0.8964785342437438,-0.22108562085927072,0.9104586231315928,-0.5663027385887265,-0.4009056415753486,-0.7913346710020599,0.8925527892145398,0.5906935480790526,-0.7930463440259874,-0.8792084514772724,0.3005847680698573,-0.6136393085241104,-0.7621217769880025,-0.6163716665086889,0.6050343502547822,-0.275364996404968,-0.8953901589453792,0.9068591728769263,-0.8101487678536425,-0.9377270106480563,-0.6898946496380479,0.8859654213402421,0.8292958955438513,-0.6696725504449129,-0.9440531811710486
feat_5,-0.5743893818927932,0.9253827179008011,1.0,0.7873410434944254,-0.3881018868565085,0.8990217835215334,-0.9807639797961962,0.9549592924258914,0.7715610767510581,-0.6937739909083055,0.5668700612836136,-0.679559876197652,0.9728564473603857,-0.9808009524688049,-0.8526083527404443,-0.4980050225619697,-0.9838081460611469,0.9301621740719701,-0.8014269244087199,-0.7647294854370077,0.10458905874371874,-0.5068598083021233,-0.8900304187106042,-0.6477521424492455,-0.6074236328266861,0.9829449617421796,-0.9525388131694478,0.9775455231395528,-0.9677700655870621,-0.9510209073357356,-0.09741724260149857,0.5720621316771808,0.8750031174183195,-0.25610549399725346,0.9237364380600869,0.7834897723310474,-0.92555794600616,0.879784705864307,-0.8048104301237952,0.8643962837224501,0.6615101957307252,0.6420043580800888,-0.2822807262725415,0.5007407388366918,0.16118966908590168,-0.9534588448691356,-0.9878925817274331,0.9897563364339661,0.9874977805336397,-0.46006374859581317,-0.6840895658814695,-0.9841149396768597,0.5681704250361351,-0.9617510176890355,0.9647967466596672,-0.004730379541489231,0.9654517036485069,-0.7306715287032021,-0.5817840663622824,-0.8150737134052662,0.8916381672321393,0.5671418037806383,-0.7868096210658246,-0.9450660556565582,0.10990369894772928,-0.46666602007706004,-0.7029947060214096,-0.43335746308448136,0.5816452596986186,-0.41596269189442026,-0.9639558248104751,0.9822064677611743,-0.8748370589106952,-0.983962296724822,-0.6660043251178585,0.9659016801638896,0.7924313891258495,-0.6632634285355112,-0.9556726993150937
feat_6,-0.4318140589776917,0.7392641460186865,0.7873410434944254,1.0,-0.20802660482167798,0.6673726846744277,-0.8018950115612827,0.729661000494115,0.6043642307159278,-0.5545010390923744,0.5562884770025971,-0.5888657398710718,0.8344456538337269,-0.7736506196979757,-0.6743431418310114,-0.3635376915741074,-0.7959551302939752,0.7410326121980794,-0.6025006578789822,-0.5173825483452826,-0.06910867974032676,-0.44020423302549194,-0.6342356610132543,-0.38475391749822785,-0.4080714425245286,0.7946508849571403,-0.7788380859710324,0.754468927111029,-0.8159516191196958,-0.7137832582756531,-0.06102486192454919,0.5659515410175192,0.8115509771110848,-0.11050935747140998,0.6506495787396988,0.7742625954365658,-0.7153408177282713,0.806371940864134,-0.5946761801420828,0.7828680244839257,0.5222169397443395,0.6676573335662933,-0.07727450499734295,0.16304168532450358,-0.023546166927405694,-0.7268973017053039,-0.8014138805349901,0.8015431822473651,0.8001515600642987,-0.6005017340906521,-0.4339061696709827,-0.8007680561361952,0.5575105727423496,-0.7548629002938084,0.8069932275853621,-0.03705022554007296,0.8048383225458192,-0.4752575366547848,-0.3264425733846117,-0.8259496121701158,0.712142317126995,0.5583428160107624,-0.7619136919410677,-0.7346988138288401,0.02251982460080286,-0.3825622456382944,-0.6566186106971481,-0.40952831885108926,0.5758587476207283,-0.19730453886979774,-0.8241615718451871,0.81308605040627,-0.8291269624295781,-0.7690268162799351,-0.7604695300955872,0.8005888072024092,0.690927203039186,-0.7050293999735038,-0.7705082572687899
feat_7,-0.116601083093557,-0.2585023867163528,-0.3881018868565085,-0.20802660482167798,1.0,-0.3754707093838555,0.3886719657419918,-0.3844726589675988,-0.3008387435695869,0.17811315239970452,-0.09209707074420413,0.18243870790483174,-0.3935845762944008,0.39538120496798407,0.24300794889632338,0.2925816872149102,0.3976174276027574,-0.3641481523249833,0.3464518279716764,0.4651375311342317,-0.19602558534221357,-0.10129604807027413,0.36202996343503113,0.5822623826740776,0.1319888211868596,-0.3915897608104952,0.31392525221702233,-0.38513764036925985,0.38551419116225133,0.4056684275629095,0.23365298377153348,-0.09366116448505514,-0.19333531884098923,0.4707678431091484,-0.391003216616096,-0.27177108538668093,0.31507437711200315,-0.25879920576623966,0.40736337042657306,-0.24075809287126898,-0.08643487107456677,0.060930089269605914,0.40001054452505713,-0.340358442526151,-0.3526163315656077,0.3681355516123141,0.3928264149832759,-0.3885868729178892,-0.3933168564473464,-0.008984328117006076,0.5709242272485757,0.3820270080412209,-0.09247889199083004,0.3825322575517484,-0.3806563609894462,-0.37319404377447984,-0.3318348663809136,0.5335284816526339,0.6601176864950513,0.27551273968294454,-0.34220908996409927,-0.09235171735815884,0.24707445371641834,0.39137353157666455,0.17937647762172101,0.007944190267607338,-0.042842736878558704,-0.06074442388868264,-0.09533594003751777,0.6139421778159948,0.37801459066407245,-0.35441611518956895,0.27902842925471777,0.3943409398528968,0.008229170873002237,-0.38941316545684507,-0.1061243767843835,-0.04222931343814164,0.3395075147669499
feat_8,-0.5798682195454592,0.9147950220735149,0.8990217835215334,0.6673726846744277,-0.3754707093838555,1.0,-0.8958280470330294,0.9276035795335748,0.7033063778901549,-0.6271630931092176,0.5639003275300973,-0.5587162049798622,0.8536304839483683,-0.9217679141746585,-0.7667090787334037,-0.5247126821556509,-0.9110428055562133,0.8908098992449346,-0.7338943044367837,-0.7135107770253886,0.20815778442027413,-0.5187641567394099,-0.913562782566498,-0.6325695243406388,-0.7513510253921696,0.882179826652573,-0.8854479175052714,0.9220445960691724,-0.884874823648572,-0.8607210042974109,-0.08728075959454101,0.5693807832593424,0.767262341061466,-0.23270929161966658,0.942606033765597,0.7315697676525845,-0.9300401854749202,0.758402158112139,-0.7180247258166477,0.8160023846010247,0.6844489680607574,0.5467602813120267,-0.2799804827451701,0.6770025422827153,0.05507504446449186,-0.938892826270663,-0.904226169034453,0.900908756648558,0.899739454386332,-0.22887961457292078,-0.6508905661592017,-0.8858604319356777,0.5652413334189602,-0.9110793020005177,0.8555214472757378,-0.08318691149505542,0.8633125939582343,-0.6926302284266647,-0.5568698051070551,-0.7165190257651459,0.9147804682935257,0.5644908732254188,-0.709572638397113,-0.8553971310527877,0.23077911222379882,-0.5979505226016318,-0.6259215948835815,-0.5789066087769505,0.5762835092962331,-0.3969880626968171,-0.8401546296285811,0.8698142270986186,-0.7176759846921444,-0.9156289645355717,-0.5442499372016504,0.8643975891753632,0.7382531496850406,-0.49243901396459916,-0.9106730218946839
feat_9,0.5454226924540729,-0.9188192885011097,-0.9807639797961962,-0.8018950115612827,0.3886719657419918,-0.8958280470330294,1.0,-0.9456460456304056,-0.7826842092863331,0.6815362628643419,-0.5673863792413112,0.6931721899619586,-0.9826891086976712,0.9775593358809201,0.8369441939944511,0.519974366264781,0.9871159608544638,-0.9450477906595229,0.775611284047201,0.7636381844841428,-0.0780075125573082,0.4949963710967028,0.8739929162788417,0.6382320676472145,0.5627300629446456,-0.9906491837933697,0.9485182409534524,-0.9696268539466145,0.9605618397757254,0.9412851122734139,0.09550959977687833,-0.5732525620055614,-0.8726514568165479,0.2536534732906559,-0.9015586519987268,-0.7941754547502032,0.9176492934857872,-0.8921173876364644,0.8125055608217473,-0.8794483232638057,-0.6441960244142075,-0.6631805417314812,0.2751453098995609,-0.4439373340249411,-0.15644714584858274,0.9448795756505434,0.9917389216780421,-0.989760949268954,-0.9855469610903422,0.4861111357248197,0.6834939972585709,0.9871533117356832,-0.5699024422382774,0.9490014059353532,-0.9757584008503841,-0.025510253650066837,-0.9689806636747506,0.7226782892651235,0.5788070789381375,0.8323802907746713,-0.8978145536772052,-0.569358406391395,0.8038230956268044,0.9464951568549098,-0.07177088467806325,0.43156601881943824,0.7062731748106528,0.416965515364182,-0.5831801835870839,0.4138498656647711,0.9601118595316056,-0.981385865802661,0.900815710850255,0.9700360756229225,0.6934715202911277,-0.9740130941753243,-0.7937674109669052,0.6819129495842792,0.9424225511086981
feat_12,-0.5968145818700885,0.922577434778836,0.9549592924258914,0.729661000494115,-0.3844726589675988,0.9276035795335748,-0.9456460456304056,1.0,0.7624118914410871,-0.6806698761045731,0.5670303225091154,-0.6085597180241044,0.9189806270936047,-0.9608210785880373,-0.8247660042150151,-0.47747133405576647,-0.960676594199637,0.9108665423489887,-0.7709232066613857,-0.7382814534124893,0.24533652034720582,-0.538548873049669,-0.9099488544090669,-0.6371110390931214,-0.6871134270940601,0.9500825205182893,-0.9248007075769592,0.952208776929607,-0.9365161129188763,-0.9281126467190717,-0.09733042914087879,0.5712808160036381,0.8490389501440223,-0.23109653262749477,0.9393786413802389,0.7557059547880867,-0.9247918738656987,0.8369481213424909,-0.7531151956300727,0.854040625631873,0.6520736470098539,0.6045510123515655,-0.28484884661239307,0.5707998127544149,0.11966308130925003,-0.9546236069264818,-0.9556122449208819,0.950287755876898,0.9486175958365476,-0.382485953276168,-0.6579316757077153,-0.9414210518797876,0.569013420605145,-0.9684296136401818,0.9245744274879414,-0.06270616239537842,0.9305510860937987,-0.7098588388888475,-0.5565522696534713,-0.7868957071156804,0.9176303890996284,0.5688551138827772,-0.742771982834017,-0.9206448856061232,0.17452550620401264,-0.5748391520853722,-0.6679883228640815,-0.5238527370323907,0.5814939905292962,-0.396411623431862,-0.9103041015418157,0.9398902842260022,-0.8032151489975012,-0.9691516686314627,-0.6189495281527672,0.9328769882460973,0.784145786001332,-0.5938707764507309,-0.956318510878764
feat_13,-0.43426001501768424,0.736484198193324,0.7715610767510581,0.6043642307159278,-0.3008387435695869,0.7033063778901549,-0.7826842092863331,0.7624118914410871,1.0,-0.6547778875091221,0.49441843006189645,-0.6056240476891173,0.7883512333884779,-0.7616852618116755,-0.7235224044964045,-0.36059602528017615,-0.7905036174553268,0.7576154786931351,-0.6033545923746643,-0.694033039515462,0.06343307865345772,-0.476335804223413,-0.712210749225802,-0.4856256837461402,-0.4406703702843627,0.7986705667221786,-0.7750053583881803,0.7678443658656888,-0.7259717861580369,-0.7750382973401567,-0.04330181590796878,0.49825301741153344,0.6624118377215765,-0.1195085802940236,0.7429528793130066,0.642713210655024,-0.7271874236862232,0.7923579232537286,-0.7525028831790606,0.7331562345261023,0.5359774358131137,0.5861894085172695,-0.093177507155415,0.3254474170249428,0.23821192104136113,-0.7363952407327077,-0.7886821204050499,0.782342281130973,0.7916999790805066,-0.4924997943231254,-0.5459824384504918,-0.7867921898383557,0.49270061219002076,-0.7885567849614558,0.8079110296155514,-0.019672771164577146,0.7905695593280585,-0.5940939241040274,-0.41675471461377694,-0.6980008655642809,0.6951411387143915,0.49618607672644593,-0.607261869054223,-0.7682026627463662,0.184887751620434,-0.33467911555605356,-0.6314915867890015,-0.300059813303411,0.49833297444978847,-0.280383071763901,-0.7946902350870988,0.792289787089519,-0.793725742856514,-0.7851156176717663,-0.6377917361486803,0.7656773618699422,0.6645101789130796,-0.6819344569854211,-0.7863313404758789
feat_14,0.4562248806721872,-0.7054221005493706,-0.6937739909083055,-0.5545010390923744,0.17811315239970452,-0.6271630931092176,0.6815362628643419,-0.6806698761045731,-0.6547778875091221,1.0,-0.339162549078109,0.612789321564912,-0.6691197552329998,0.6965536743726589,0.6703200091412673,0.20725298865294325,0.7070265377430165,-0.6186407966560051,0.4557490008767205,0.6347663164645458,-0.16559428913082172,0.6309612845601306,0.6513462765937708,0.3253930225699475,0.4336169583168604,-0.7052382403149665,0.7657382722887213,-0.7036472972355714,0.6173059562813952,0.7132382653164713,-0.039355848170651166,-0.3449225804868988,-0.6475946806694963,0.03181132141971319,-0.6700376235350548,-0.6554236009632454,0.6864074695661102,-0.7753224486686153,0.6351634389267461,-0.7528313603731714,-0.6052355206526305,-0.6386263532793321,-0.08540757646716185,-0.2685652507846581,-0.2151328800255338,0.6679856807004523,0.6988375412560355,-0.6869606590255579,-0.6934655342910715,0.5255176246075001,0.4212980644078553,0.6816521523032553,-0.3405686683634607,0.7122019646693386,-0.7436036655852878,0.13116857968318282,-0.722443605049793,0.4802959571490706,0.24160867811304654,0.6622577723863036,-0.5995433955922583,-0.34010032694666764,0.5289955611169259,0.7007780271556259,-0.4096996896104786,0.37952496232925725,0.6683533706889687,0.4662084852247946,-0.3510902157973049,0.07822934983452214,0.7194017494008796,-0.7006506788631286,0.7103086612283511,0.7188313625353674,0.6609986761821479,-0.7024369718159735,-0.7389986002325397,0.5820421904349737,0.7586067117125539
